Vendor Name,Field,Pass-1,QA-Correction,QA Rationale
Bella Operation A/S,Description,CLASSIFICATION FAILED,Danish business operations or services company,"Corrected description. 'Bella Operation A/S' is a Danish entity (A/S = Aktieselskab). Low spend ($241) and opaque name - could be event venue, office services, or other. Requires clarification on actual service provided."
Bigshare Services Private Limited,Description,Indian share registry and investor relations services,Indian share registrar and transfer agent services,"Bigshare is a share registry/transfer agent for Indian companies. Post-acquisition, the acquired company's standalone shareholding structure is absorbed into the acquirer; legacy registrar services for pre-deal equity are no longer needed. Low spend confirms minimal ongoing activity."
Bigshare Services Private Limited,Recommendation,Investigate,Terminate,"Bigshare is a share registry/transfer agent for Indian companies. Post-acquisition, the acquired company's standalone shareholding structure is absorbed into the acquirer; legacy registrar services for pre-deal equity are no longer needed. Low spend confirms minimal ongoing activity."
Xenon Savjetovanje D.O.O.,Department,Facilities,G&A,"""Savjetovanje"" means ""consulting"" in Croatian. With only $164 spend and no clear indication of facilities-related work, this is general consulting that belongs in G&A rather than Facilities. Requires scope confirmation to determine actual service type."
Xenon Savjetovanje D.O.O.,Description,Croatian consulting services — likely local HR/safety advisory,Croatian consulting firm — unclear service scope,"""Savjetovanje"" means ""consulting"" in Croatian. With only $164 spend and no clear indication of facilities-related work, this is general consulting that belongs in G&A rather than Facilities. Requires scope confirmation to determine actual service type."
Hrvatski Nezavisnici Izvoznici Softvera,Recommendation,Protected,Optimize,"Industry association memberships are not statutory/mandatory obligations - they are voluntary professional memberships. Protected is reserved for government fees, regulatory exams, and M&A transaction advisors. This is a low-spend optional membership that should be reviewed for value."
Sportkart D.O.O.,Department,Facilities,Employee Experience,"Sports/recreation for employees belongs in Employee Experience, not Facilities. At $141/year, this is trivial discretionary spend—likely a one-off purchase or small team activity. Recommend termination unless proven essential to employee wellness program."
Sportkart D.O.O.,Description,Croatian sports/recreation facility or equipment supplier,Croatian sports/recreation equipment or activity provider,"Sports/recreation for employees belongs in Employee Experience, not Facilities. At $141/year, this is trivial discretionary spend—likely a one-off purchase or small team activity. Recommend termination unless proven essential to employee wellness program."
Sportkart D.O.O.,Recommendation,Investigate,Terminate,"Sports/recreation for employees belongs in Employee Experience, not Facilities. At $141/year, this is trivial discretionary spend—likely a one-off purchase or small team activity. Recommend termination unless proven essential to employee wellness program."
The Cook Kitchen,Department,Facilities,Employee Experience,"Employee food/catering belongs in Employee Experience per Rule 4-5, not Facilities. Low spend suggests occasional use; consolidate with other caterers or negotiate volume discounts."
Capitol Services,Department,G&A,Legal,"Capitol Services is a well-known registered agent provider handling state filings, annual reports, and compliance for US entities. Low spend aligns with registered agent fees. Not truly unknown — classify as Legal with Optimize (consolidate with other RA providers if multiple exist)."
Capitol Services,Description,"Likely office supplies, mail services, or administrative support",Registered agent and corporate filing services,"Capitol Services is a well-known registered agent provider handling state filings, annual reports, and compliance for US entities. Low spend aligns with registered agent fees. Not truly unknown — classify as Legal with Optimize (consolidate with other RA providers if multiple exist)."
Capitol Services,Recommendation,Investigate,Optimize,"Capitol Services is a well-known registered agent provider handling state filings, annual reports, and compliance for US entities. Low spend aligns with registered agent fees. Not truly unknown — classify as Legal with Optimize (consolidate with other RA providers if multiple exist)."
Kat'S Kitchen D.O.O.,Department,Facilities,Employee Experience,"Employee food/catering belongs in Employee Experience per rules, not Facilities. Very low spend suggests infrequent use; evaluate consolidation with other local caterers."
Soho Kitchen Ltd,Department,Facilities,Employee Experience,"Catering and office food services belong in Employee Experience, not Facilities per rule 4. Terminate recommendation is correct given minimal $104 annual spend."
Pret A Manger,Department,Facilities,Employee Experience,"Employee food purchases (coffee, sandwiches) belong in Employee Experience, not Facilities per rule 4/5. Low spend, consolidate with other meal vendors."
Pret A Manger,Description,UK food/beverage for office or catered meetings,UK coffee/sandwich chain for employee meals,"Employee food purchases (coffee, sandwiches) belong in Employee Experience, not Facilities per rule 4/5. Low spend, consolidate with other meal vendors."
Axil Coffee Roasters,Department,Facilities,Employee Experience,"Employee food/beverage (coffee, snacks, catering) belongs in Employee Experience per rules, not Facilities. Low spend suggests single-location; consolidate with other coffee/beverage vendors."
Axil Coffee Roasters,Description,Office coffee and beverage supply for break rooms,Specialty coffee supply for employee consumption,"Employee food/beverage (coffee, snacks, catering) belongs in Employee Experience per rules, not Facilities. Low spend suggests single-location; consolidate with other coffee/beverage vendors."
London Waste Management,Recommendation,Protected,Optimize,"Waste management is a routine operational service, not a statutory/regulatory fee paid to government. While commercial waste disposal may be legally required, the vendor providing it is a private service provider that can be renegotiated or switched. Protected is only for government fees, regulatory bodies, or M&A transaction advisors."
Ico,Department,G&A,Legal,ICO is the UK's data protection regulator. This £35-equivalent fee is the mandatory annual data protection registration for UK entities - statutory/regulatory requirement.
Ico,Description,Unclear vendor - possibly misbooked payment or acronym,UK Information Commissioner's Office data protection registration fee,ICO is the UK's data protection regulator. This £35-equivalent fee is the mandatory annual data protection registration for UK entities - statutory/regulatory requirement.
Ico,Recommendation,Investigate,Protected,ICO is the UK's data protection regulator. This £35-equivalent fee is the mandatory annual data protection registration for UK entities - statutory/regulatory requirement.
Wolt Enterprises Oy,Department,Travel & Entertainment,Employee Experience,"Employee food/meals should be classified under Employee Experience, not Travel & Entertainment per classification rules. Recommendation and description remain appropriate."
Shilton Hospitality Llp,Department,Facilities,Employee Experience,"Catering/hospitality services belong in Employee Experience, not Facilities per rules. Terminate recommendation is correct given negligible $55 spend indicating one-off usage."
Istra Wine,Department,Facilities,Employee Experience,"Wine for office events is Employee Experience, not Facilities. At $53/year, this is de minimis spend that should be consolidated with other event/catering vendors or terminated as standalone."
Istra Wine,Recommendation,Optimize,Terminate,"Wine for office events is Employee Experience, not Facilities. At $53/year, this is de minimis spend that should be consolidated with other event/catering vendors or terminated as standalone."
Pan-Pek D.O.O.,Department,Facilities,Employee Experience,"Employee food/catering belongs in Employee Experience, not Facilities. At $50/year, this is de minimis spend—one of many small Croatian food vendors that can be terminated or absorbed into consolidated catering."
Pan-Pek D.O.O.,Recommendation,Investigate,Terminate,"Employee food/catering belongs in Employee Experience, not Facilities. At $50/year, this is de minimis spend—one of many small Croatian food vendors that can be terminated or absorbed into consolidated catering."
Uber *Eats,Department,Travel & Entertainment,Employee Experience,"Employee food/meals should be categorized under Employee Experience, not Travel & Entertainment per classification rules. Recommendation and description remain appropriate."
Uber *Eats,Description,Employee meal delivery and food expenses,Employee meal delivery service,"Employee food/meals should be categorized under Employee Experience, not Travel & Entertainment per classification rules. Recommendation and description remain appropriate."
Garden City D.O.O.,Department,Facilities,Employee Experience,"Garden City D.O.O. name suggests food/catering or office plants rather than facilities maintenance. At $45/year, this is trivial spend likely for a one-off meal or small service. Too small to justify any procurement overhead — recommend termination or letting contract lapse."
Garden City D.O.O.,Description,Croatian local facilities maintenance or landscaping services,Croatian catering or office food/plant service provider,"Garden City D.O.O. name suggests food/catering or office plants rather than facilities maintenance. At $45/year, this is trivial spend likely for a one-off meal or small service. Too small to justify any procurement overhead — recommend termination or letting contract lapse."
Garden City D.O.O.,Recommendation,Investigate,Terminate,"Garden City D.O.O. name suggests food/catering or office plants rather than facilities maintenance. At $45/year, this is trivial spend likely for a one-off meal or small service. Too small to justify any procurement overhead — recommend termination or letting contract lapse."
Brodomerkur D.D.,Description,Croatian maritime/shipping services or port-related vendor,Croatian hardware/building materials retailer,"Brodomerkur D.D. is a Croatian retail chain selling hardware, tools, and building materials (similar to a hardware store), not a maritime company. At $29/year, this is a trivial one-off purchase likely for office supplies or minor maintenance items—not worth maintaining as an active vendor relationship."
Brodomerkur D.D.,Recommendation,Investigate,Terminate,"Brodomerkur D.D. is a Croatian retail chain selling hardware, tools, and building materials (similar to a hardware store), not a maritime company. At $29/year, this is a trivial one-off purchase likely for office supplies or minor maintenance items—not worth maintaining as an active vendor relationship."
Harissa D.O.O.,Department,Facilities,Employee Experience,"Harissa is a North African spice paste, strongly suggesting a food/catering business. At $21/year, this is de minimis spend on what appears to be occasional employee meals or catering — not worth administrative overhead to maintain. Moved from Facilities to Employee Experience per rules on catering."
Harissa D.O.O.,Description,Croatian local supplier — likely catering or office supplies,Croatian catering or food service provider,"Harissa is a North African spice paste, strongly suggesting a food/catering business. At $21/year, this is de minimis spend on what appears to be occasional employee meals or catering — not worth administrative overhead to maintain. Moved from Facilities to Employee Experience per rules on catering."
Harissa D.O.O.,Recommendation,Investigate,Terminate,"Harissa is a North African spice paste, strongly suggesting a food/catering business. At $21/year, this is de minimis spend on what appears to be occasional employee meals or catering — not worth administrative overhead to maintain. Moved from Facilities to Employee Experience per rules on catering."
M&S Simply Food,Department,Facilities,Employee Experience,"Employee food/snacks should be Employee Experience per rules, not Facilities. Classification otherwise correct."
Bakemono Bakers Melbourne,Department,Facilities,Employee Experience,"Correct classification: employee food/catering belongs to Employee Experience, not Facilities. Terminate recommendation appropriate for negligible one-off spend."
Bakemono Bakers Melbourne,Description,Melbourne office catering/bakery services for meetings,Melbourne office bakery catering for meetings,"Correct classification: employee food/catering belongs to Employee Experience, not Facilities. Terminate recommendation appropriate for negligible one-off spend."
Coles,Department,G&A,Employee Experience,"Coles is a major Australian supermarket chain; $18 spend with Australia office presence indicates minor office supplies or team snacks purchase, not a mystery vendor requiring investigation. Reclassified to Employee Experience and Optimize (consolidate small grocery spend tracking)."
Coles,Description,Likely employee expense reimbursement or small purchase,Australian supermarket purchase for office snacks or team supplies,"Coles is a major Australian supermarket chain; $18 spend with Australia office presence indicates minor office supplies or team snacks purchase, not a mystery vendor requiring investigation. Reclassified to Employee Experience and Optimize (consolidate small grocery spend tracking)."
Coles,Recommendation,Investigate,Optimize,"Coles is a major Australian supermarket chain; $18 spend with Australia office presence indicates minor office supplies or team snacks purchase, not a mystery vendor requiring investigation. Reclassified to Employee Experience and Optimize (consolidate small grocery spend tracking)."
