Vendor Name,Department,Last 12 months Cost (USD),1-line Description,Recommendation,Rationale,Confidence
Zivi Napitak D.O.O.,Employee Experience,"$3,700",Croatian beverage service for Zagreb/Split offices,Optimize,"Employee beverages (coffee, drinks, snacks) belong to Employee Experience, not Facilities per Rule 4. Classification corrected; recommendation remains Optimize as consolidation with catering provider is sensible.",high
Gym4You D.O.O.,Employee Experience,"$3,692",Croatian corporate gym membership or wellness program,Optimize,"Correct classification: employee wellness benefit in Croatia office, appropriately placed in Employee Experience (not Facilities). Optimize is right approach to review utilization and renegotiate.",high
Aha! Labs Inc,Engineering,"$3,689",Product roadmap and strategy planning software,Optimize,Aha! is a product management/roadmapping tool; low spend suggests limited adoption. Review usage and consider consolidation with existing PM tools like Jira or Productboard if overlapping.,high
Apple Retail Uk Ltd,IT & Infrastructure,"$3,548",Apple hardware purchases for employee devices and accessories,Optimize,Agree. Low spend indicates ad-hoc retail purchases; should consolidate under centralized IT procurement for better pricing and inventory control.,high
"Kryterion, Inc.",People & HR,"$3,541",Online certification and skills testing platform,Optimize,"Kryterion provides proctored testing/certification services, appropriately categorized under People & HR for employee skills assessment. Low spend warrants license review.",high
Npm Inc,Engineering,"$3,535",npm registry for JavaScript package management and dependencies,Optimize,Essential JavaScript/Node.js package registry for development. Low spend suggests private registry tier; review seat count and usage to right-size.,high
Pinsent Masons Mpillay Llp,Legal,"$4,078",Singapore law firm — corporate and commercial legal advisory,Optimize,Pinsent Masons MPillay is the Singapore joint law venture of Pinsent Masons; low spend suggests ad-hoc local work. Retain on panel but consolidate future needs with main external counsel where possible.,high
Calm Achiever(A Unit Of Mohsin Ali Vakil),Employee Experience,"$4,071",Wellness or mental health services provider,Investigate,"Vendor name suggests wellness/mindfulness services but unusual structure (unit of individual's name) requires verification of scope, contract terms, and whether this is a legitimate employee benefit or miscoded expense.",low
Pluxee India Private Limited,Employee Experience,"$3,994",Employee meal vouchers and benefits platform (India),Optimize,"Pluxee (formerly Sodexo Benefits) provides employee meal cards/vouchers in India, a common statutory-adjacent benefit. Correctly classified under Employee Experience with Optimize recommendation to review pricing and utilization.",high
Oâ€™Donnell Salzano Lawyers,Legal,"$3,955",Australian law firm — commercial legal advisory services,Optimize,Low spend suggests ad-hoc engagement; consolidate routine work under primary firm or negotiate fixed retainer.,high
Papertrail Inc,Engineering,"$3,900",Cloud-based log management and aggregation platform,Optimize,"Correct classification. Low spend indicates limited usage; evaluate consolidation into existing observability stack (e.g., Datadog, Splunk) or right-size subscription.",high
Sniper Systems And Solutions Private Limited,IT & Infrastructure,"$3,899",India-based IT hardware and network infrastructure integrator,Investigate,"Opaque vendor name with India location (Private Limited suffix); scope unclear whether hardware, software, or services — needs confirmation before action.",low
Trocadero (London) Hotel Ltd,Travel & Entertainment,"$3,868",London hotel accommodations for business travel,Consolidate,Correct classification. Hotel spend should be consolidated through Navan for rate negotiation and policy compliance rather than direct bookings.,high
Semrush Inc,Marketing,"$3,730",SEO and competitive intelligence platform for digital marketing,Optimize,Correct classification. Semrush is a standard marketing SEO/SEM tool; moderate spend suggests seat optimization or tier review opportunity.,high
Golubica Parking D.O.O.,Facilities,"$3,726",Employee parking services in Croatia (Zagreb/Split offices),Optimize,Parking services correctly classified under Facilities. Low spend parking contract appropriate for rate renegotiation based on post-acquisition headcount.,high
Vodafone (Australian),IT & Infrastructure,"$3,672",Australian mobile/telecom services for Sydney/Melbourne offices,Optimize,Correct classification. Vodafone Australia provides mobile/telecom for local offices; low spend suggests opportunity to right-size plans and consolidate with parent company telecom strategy.,high
Ikea Hrvatska D.O.O.,Facilities,"$3,610",Office furniture and furnishings for Croatian offices,Optimize,"Correct classification. IKEA is office furniture/furnishings, appropriately in Facilities. Low spend suggests occasional purchases; could consolidate with other furniture vendors or negotiate corporate pricing.",high
Orcola D.O.O.,Facilities,"$3,545",Croatian facility services or office supplies vendor,Investigate,"Orcola D.O.O. is an opaque Croatian entity with no clear service indicator; low spend but scope unknown—could be cleaning, supplies, or maintenance. Investigate to confirm before optimization.",low
Info Edge India Limited,People & HR,"$3,536",Indian job portal/recruitment platform (Naukri.com),Optimize,"Correct classification. Info Edge operates Naukri.com, India's leading job board. Moderate spend suitable for optimization based on hiring needs.",high
Grad Split,Statutory / Non-discretionary,"$3,483",City of Split municipal fees and taxes,Protected,Grad Split is the City of Split municipal government; these are mandatory local government fees/taxes for Croatian office operations - statutory spend.,high
T-Mobile,IT & Infrastructure,"$3,357",Mobile telecommunications services for employees,Optimize,Correct classification. T-Mobile is a mobile carrier; low spend indicates limited lines. Opportunity to consolidate with other telecom vendors or renegotiate rates.,high
Akton D.O.O.,Statutory / Non-discretionary,"$3,254",Croatian occupational health and safety compliance services,Protected,"Agree this is mandatory OHS compliance under Croatian labor law, but department should be Statutory / Non-discretionary rather than Facilities since it's a regulatory requirement, not a facilities management service.",high
Bureau Veritas Croatia D.O.O.,Facilities,"$3,200",Croatian workplace safety and certification inspections,Protected,"Bureau Veritas provides mandatory workplace safety inspections and certifications required by Croatian law. This is a statutory/regulatory requirement, correctly classified as Protected.",high
Cici Prudential Life Insurance Co. Ltd.,People & HR,"$3,195",Employee life insurance benefit in Asia-Pacific region,Optimize,Correct classification. Life insurance for employees is a People & HR benefit. Low spend suggests small headcount coverage (likely Singapore/Australia office subset). Consolidate with other regional life policies or negotiate group rates.,high
Ncc Services Limited,IT & Infrastructure,"$3,036",UK IT support and infrastructure services provider,Investigate,"Agree. NCC Services is ambiguous - could be IT consulting, security services, or facilities. Low spend warrants investigation to confirm scope and check for overlap with other IT contracts.",medium
Smartsheet Inc.,IT & Infrastructure,"$2,995",Project management and collaboration platform,Consolidate,"Agree - Smartsheet overlaps with other project/work management tools likely in stack (Asana, Jira, Monday); consolidation opportunity exists.",high
Good Game Global D.O.O.,Employee Experience,"$2,954",Team building or gaming events in Croatia,Optimize,Agree. Croatian D.O.O. with 'Good Game' branding suggests gaming-related team events; low spend supports occasional use. Optimize by consolidating with other event vendors or negotiating rates.,medium
Garaå¾A Firule D.O.O.,Facilities,"$2,930",Croatian parking garage services for Split office,Optimize,Agree with PASS-1. Parking facility is a Facilities expense; low spend suggests room to right-size based on headcount. Not a candidate for Terminate given likely office necessity.,high
Crossland,Legal,"$2,924",UK employment law firm — HR advisory and disputes,Investigate,Low spend suggests ad-hoc engagement; worth verifying scope and whether it duplicates primary employment counsel before deciding consolidation.,medium
It London,IT & Infrastructure,"$2,838",UK IT support or managed services provider,Investigate,Ambiguous name with low spend; need to confirm scope and potential overlap with other IT vendors before deciding consolidation or termination.,low
Terrapinn Holdings Ltd,Marketing,"$2,838",B2B conference and event sponsorships,Optimize,Terrapinn is a B2B events/conference organizer; classification as Marketing with Optimize is correct — event sponsorships should be evaluated for ROI and consolidated under marketing budget.,high
Elemental Life Solutions Llp,Employee Experience,"$2,807",Employee wellness or benefits administration services,Investigate,Agree with PASS-1. 'Elemental Life Solutions' suggests wellness/benefits but scope is ambiguous; low spend warrants quick verification before action.,low
United Flow Ltd (The Goodness Project),Employee Experience,"$2,744",Employee wellness or engagement platform subscription,Investigate,"Low spend wellness vendor with unclear scope ('The Goodness Project' suggests wellness/CSR initiative); need to confirm active usage, headcount coverage, and whether duplicative with other EE programs before deciding retention.",low
Mcburneys Charted Accountants,Finance,"$2,711",Accounting and tax advisory services,Consolidate,Agree. McBurneys is a regional accounting firm; consolidating under primary audit firm BDO reduces vendor fragmentation in Finance.,high
Cleverland Winery Resort,Employee Experience,"$2,663",Winery venue for team event or offsite,Optimize,"Team events and offsites belong to Employee Experience, not Travel & Entertainment per classification rules. Low spend suggests infrequent use; consolidate with preferred venue list.",high
Ag Grid Ltd,Engineering,"$2,653",AG Grid JavaScript data grid library for application UI,Optimize,Agree with PASS-1. AG Grid is a well-known enterprise data grid component. Low spend suggests limited licensing; worth reviewing whether Community (free) edition suffices or if enterprise features justify the cost.,high
Lusha,Sales,"$2,606",B2B contact data enrichment and prospecting platform,Optimize,Lusha is a sales intelligence tool for contact enrichment; low spend suggests opportunity to consolidate with other lead data tools or renegotiate seats.,high
My Foodiverse Llp,Employee Experience,"$2,489",Office catering and food delivery services,Optimize,"Catering and employee food services belong to Employee Experience, not Facilities per classification rules. Low spend suggests occasional use; optimize via volume consolidation with other caterers.",high
4Imprint Direct Ltd,Marketing,"$2,436",Promotional products and branded merchandise supplier,Optimize,Correct classification — 4imprint is a well-known branded merchandise supplier; low spend suggests consolidating orders or negotiating volume pricing.,high
City Pantry Ltd,Employee Experience,"$2,419",Office catering and meal delivery service for meetings/events,Optimize,"Catering and employee meals belong to Employee Experience, not Facilities per classification rules. Recommendation and description remain appropriate.",high
Stipe Piric,G&A,"$2,302",Individual payee — likely contractor payout or expense reimbursement,Investigate,Individual human name (Croatian) suggests miscoded expense reimbursement or contractor payout; requires verification of payment nature.,low
Office Move London,Facilities,"$2,293",Office relocation services for London location,Terminate,"One-time completed office move is not Protected (reserved for statutory/mandatory or M&A transaction fees). Since project is complete with no ongoing spend expected, Terminate is appropriate — no future action needed.",high
Pink Ribbon Shop,Employee Experience,"$2,251",Breast cancer awareness merchandise and charitable donations,Investigate,"Agree — low spend charitable/awareness vendor with unclear business purpose (employee wellness, CSR initiative, or one-off donation). Needs scope confirmation before classification decision.",low
Starhub Ltd (Supplier),IT & Infrastructure,"$2,205",Singapore telecom provider for office connectivity and mobile,Optimize,Starhub is a major Singapore telecom; low spend indicates small office footprint. Correct classification as IT infrastructure with Optimize to right-size or renegotiate plans.,high
N S Shastri And Co,Finance,"$2,194",India statutory accounting/tax compliance firm,Optimize,"N S Shastri & Co is a recognized Chennai-based CA firm handling local statutory filings and tax compliance in India. With India office presence, local statutory compliance is mandatory and distinct from group audit (BDO). Low spend, retain but verify scope overlap with any other India finance vendors.",high
John Smith,G&A,"$2,163",Individual name—likely contractor payout or expense reimbursement,Investigate,Human name with modest spend suggests miscoded expense reimbursement or ad-hoc contractor payment; needs verification of actual nature before proper classification.,low
Fabiola Thistlewhaite,G&A,"$2,154",Individual name - likely contractor payout or expense reimbursement,Investigate,Human name indicates probable miscoded expense reimbursement or contractor payment; requires verification of actual spend nature.,low
Hp Inc Uk Limited,IT & Infrastructure,"$2,136","HP hardware: laptops, desktops, printers, accessories",Optimize,Pass-1 is correct. HP is a standard IT hardware vendor; low spend suggests ad-hoc purchases. Consolidate with primary hardware procurement channel for better pricing.,high
Cision Pr Newswire,Marketing,"$2,110",Press release distribution and media monitoring platform,Optimize,Agree. PR Newswire is a standard marketing communications tool; low spend suggests limited usage that could be optimized to pay-per-release or bundled with other PR activities.,high
George Anchor,G&A,"$2,107",Individual name — likely contractor payment or expense reimbursement,Investigate,Human name with modest spend suggests misbooked contractor payout or employee reimbursement; requires confirmation of actual service before proper classification.,low
"Yoxel, Inc",Marketing,"$2,044",Email signature management and branding platform,Terminate,"Email signature management is a Marketing function (brand consistency), not IT & Infrastructure. Recommendation to terminate stands given low spend and availability of alternatives.",high
Grt Hotels And Resorts P Ltd,Travel & Entertainment,"$2,032",Hotel accommodations in India for business travel,Consolidate,GRT Hotels is an Indian hotel chain; booking should be consolidated into Navan for centralized travel management and negotiated rates.,high
Apple Pty Ltd,IT & Infrastructure,"$2,031",Apple hardware/software purchases for Australian offices,Optimize,Agree. Low spend indicates ad-hoc hardware purchases; consolidate with global IT procurement or single Apple reseller for better pricing.,high
Slack Technologies Limited,IT & Infrastructure,"$1,989",Team messaging and collaboration platform,Optimize,Correct classification. Slack is core collaboration infrastructure; low spend suggests limited seats. Worth reviewing for inactive licenses or consolidation with other communication tools.,high
G S Notary Public Limited,Legal,"$1,935",UK notary public services for document authentication,Optimize,"Notary services are not statutory/mandatory vendors themselves - they are professional services used as needed. While sometimes required for specific transactions, the vendor relationship itself is not protected. Low spend suggests occasional use; could consolidate with other legal service providers or negotiate rates.",high
Apple Distribution International Ltd,IT & Infrastructure,"$1,913",Apple hardware and software purchases for employees,Optimize,Agree. Apple Distribution International is the Irish entity for Apple corporate sales; low spend indicates ad-hoc device purchases. Consolidate procurement with global IT hardware strategy for volume pricing.,high
Porezno Savjetniå¡Tvo Tuk D.O.O.,Finance,"$1,813",Croatian tax advisory and compliance services,Optimize,"Tax advisory services are professional services, not statutory/mandatory government fees. While useful for compliance, they are not Protected — the company chooses its tax advisor and can renegotiate or consolidate with other finance advisors. Low spend suggests minimal scope; review if needed or consolidate with broader finance advisory.",high
Susan Lee,G&A,"$1,762",Likely contractor payout or employee expense reimbursement,Investigate,Individual human name with modest spend typically indicates miscoded expense reimbursement or contractor payment; requires verification of payment purpose and proper categorization.,low
Ansar Madovic,G&A,"$1,732",Individual payee — likely contractor reimbursement or misbooked expense,Investigate,Individual human name with low spend suggests contractor payout or miscoded expense reimbursement — requires verification of actual service rendered,low
"Radius Group, Inc",Marketing,"$1,723",B2B contact data and sales intelligence platform,Consolidate,"Radius Group Inc (now Radius Intelligence, acquired by Dun & Bradstreet) is a B2B data/marketing intelligence provider, not a travel company. Should be evaluated alongside other data enrichment tools like ZoomInfo, Clearbit, etc. for consolidation.",medium
Aquila Remete D.O.O.,Employee Experience,"$1,706",Croatian sports/recreation club (likely employee gym or team activities),Optimize,Aquila Remete is a sports club in Zagreb (basketball/athletics); likely employee wellness benefit or team activity rather than facility maintenance. Reclassified to Employee Experience per rules. Low spend suggests discretionary benefit.,medium
Clime India Private Limited,Facilities,"$1,678",India office climate control and HVAC maintenance,Optimize,Agree with PASS-1. Low-spend facilities maintenance vendor for India office HVAC systems; appropriate for contract optimization rather than termination given operational necessity.,medium
"Golden Mean, Inc",G&A,"$1,659",Investigate — function unclear from vendor name alone,Investigate,"Agree. 'Golden Mean, Inc' is an opaque name with no clear service category; low spend warrants investigation to determine if this is consulting, software, or miscoded expense before classifying.",low
Paint & Fun Vl. Martina Milkova Nikolova,Employee Experience,"$1,654",Creative art/painting team activity provider (Croatia),Optimize,"Name 'Paint & Fun' indicates recreational painting activity (team building/events), not office maintenance painting. Reclassified from Facilities to Employee Experience.",medium
Carrington Communications,Marketing,"$1,654",PR or communications agency services,Investigate,Low spend communications vendor; need to confirm if active engagement or legacy contract that can be terminated.,medium
Crayond Digital Private Limited,Engineering,"$1,646",India-based software development and digital product services,Investigate,"Low spend Indian dev shop warrants scope verification — could be legacy project, staff aug, or redundant contractor.",medium
Studentski Centar Karlovac,Employee Experience,"$1,549","Student center services in Karlovac, Croatia — likely meals/lodging",Investigate,"Agree with PASS-1. Student centers in Croatia can provide meal/lodging services but the specific use case (intern housing, event venue, training accommodation) is unclear from name alone. Low spend warrants quick verification before action.",low
Lajnap Comedy Booking D.O.O.,Employee Experience,"$1,536",Croatian comedy entertainment booking for employee events,Terminate,Agree. Low-spend discretionary entertainment/event booking; non-essential post-acquisition and easily cut without operational impact.,high
British Telecommunications,IT & Infrastructure,"$1,493","UK telecom services — office internet, phones, lines",Optimize,Agree. BT provides essential UK office connectivity; low spend suggests a small footprint that could be reviewed for better rates or bundling with other telecom services.,high
Etm Concessions Ltd,Employee Experience,"$1,419",UK vending/concessions services for office breakrooms,Optimize,"Vending and breakroom concessions are employee food/snacks, which falls under Employee Experience per classification rules, not Facilities.",high
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,Travel & Entertainment,"$1,406",Hotel accommodation for India business travel,Optimize,"Correct classification. Low-spend hotel in India should be routed through Navan for policy compliance, rate optimization, and spend visibility.",high
Ariba Inc,Finance,"$1,363",SAP Ariba procurement/invoicing platform subscription,Optimize,Agree. SAP Ariba is a procurement platform; low spend suggests limited usage. Right-size or consolidate if procurement handled elsewhere.,high
Chamiers Recreation Club,Employee Experience,"$1,338",Chennai employee recreation/sports club membership,Optimize,"Correct classification - recreation club membership is an employee benefit, low spend justifies optimization over termination",high
Quadrant Law Llc,Legal,"$1,327",US law firm for commercial contracts and advisory,Optimize,Low spend indicates ad-hoc legal work; appropriate to evaluate consolidation with primary legal counsel post-acquisition.,high
Docusign,G&A,"$1,308",Electronic signature and document workflow platform,Optimize,Agree. DocuSign at $1.3k suggests limited seats; right-sizing licenses or consolidating to fewer signers is appropriate. Cross-functional tool fits G&A.,high
Inside Edge Novated Leasing,People & HR,"$1,287",Australian employee novated lease administration for company vehicles,Optimize,Novated leasing is an Australian employee benefit program (salary packaging for vehicles). Low spend indicates limited uptake; worth reviewing if benefit is valued or can be consolidated with broader benefits platform.,high
Rhea D.O.O.,Facilities,"$1,253",Croatian facilities or office services provider,Investigate,"Agree. Rhea D.O.O. is an opaque Croatian entity name with low spend; cannot infer specific service category (cleaning, supplies, maintenance, or other). Needs vendor confirmation before classification.",low
P S Recreation Club,Employee Experience,"$1,219",Employee recreation/social club membership or facility,Optimize,Recreation club for employees fits Employee Experience; low spend makes it a good candidate to review utilization and renegotiate rather than terminate.,medium
Fastspring,Finance,"$1,179",E-commerce payment processing and subscription billing platform,Investigate,"FastSpring is typically used for software/SaaS product sales as merchant-of-record, not internal finance ops. At $1,179 annual spend, unclear if this supports a revenue-generating product line or is legacy/test account. Need to clarify business purpose before recommending action.",medium
Dsv Solutions A/S,Facilities,"$1,162",DSV logistics and freight forwarding services,Investigate,"Low spend ($1,162) for a major global logistics provider suggests sporadic use; worth confirming if this can be consolidated under a primary courier/freight vendor.",medium
Curzon Green Solicitors,Legal,"$1,158",UK law firm — employment/commercial legal advice,Investigate,Agree. Low spend (~$1K) indicates likely one-off matter; worth confirming if retainer exists or if this can be terminated post any open matters.,medium
Icare Nsw,People & HR,"$1,150",NSW workers compensation insurance premiums (Australia),Protected,"Workers' comp insurance belongs under People & HR per rules, not Statutory. Still Protected as it's a mandatory statutory requirement for Australian employees.",high
Thomas Mansfield Solicitors Limited,Legal,"$1,135",UK solicitors firm — commercial legal services,Investigate,"Low spend UK solicitor with unclear scope; confirm if project-based or ongoing retainer, and whether services can consolidate under primary legal counsel.",medium
Amazon.Co.Uk,Facilities,"$1,107",Amazon UK office supplies and miscellaneous purchases,Optimize,"At ~$1100/year, this is clearly low-value office supplies/misc items typical for UK office operations. Not worth investigation overhead — consolidate purchasing controls and monitor, but scope is inferrable as standard office consumables.",medium
Backoffice Associates,Finance,"$1,080",Accounting or bookkeeping support services,Investigate,Low spend but scope unclear — need to confirm if duplicative with in-house finance team or BDO audit services before deciding retention.,low
Oladi D.O.O.,Employee Experience,"$1,064",Croatian office catering or food delivery services,Optimize,"Employee food/catering goes to Employee Experience per rules, not Facilities. Low spend suggests occasional use; consolidate with other local caterers.",medium
Integrated Personnel Services,People & HR,"$1,054",Contingent staffing or recruitment agency services,Investigate,Name suggests staffing/recruitment but low spend (~$1K) is unusual for an agency; could be one-off placement fee remnant or miscoded expense. Warrants confirmation of scope and active status.,low
Mãœller Trgovina Zagreb D.O.O.,Employee Experience,"$1,051","German retail chain (drugstore, snacks, household goods)",Optimize,"Müller is a well-known German/Austrian retail chain (drugstore/variety store) — likely employee snacks, personal care items, or small office sundries for Zagreb office. Not true Facilities; fits Employee Experience. Low spend, can optimize purchasing controls.",medium
Lunch Nutrition D.O.O.,Employee Experience,"$1,012",Employee meal service for Croatian office (Zagreb/Split),Optimize,"Employee meals/catering belongs to Employee Experience, not Facilities per rule 4. Recommendation and description are otherwise correct.",high
Winmaxi Tours & Travels,Travel & Entertainment,"$1,001",Travel agency services for India office (Chennai bookings),Consolidate,"Local India travel agency should be consolidated into Navan for unified travel policy, better visibility, and negotiated rates.",high
Digitalna Produkcija J.D.O.O.,Marketing,$993,Croatian digital production agency — video/photo content creation,Investigate,Agree with PASS-1. Low spend and generic 'digital production' name warrant verification of scope and ongoing need vs. one-time project work.,medium
Computershare-Caboodle Technology Limited,Finance,$981,Equity plan administration and cap table management platform,Optimize,Computershare-Caboodle provides equity/share plan administration services. Low spend at $981 suggests limited usage or basic tier; worth reviewing scope and necessity but legitimate Finance tool.,high
Allianz Wa,People & HR,$971,Workers' compensation insurance coverage,Optimize,"Workers' comp insurance is an employee benefit/HR function, not Finance. Reclassified to People & HR per rules. Low spend suggests single policy; bundle with other employee insurance.",medium
Trending Technology Services Gmbh,IT & Infrastructure,$961,German IT services provider — likely consulting or support,Investigate,"Agree with PASS-1. Generic name with low spend; scope unclear. Could be IT consulting, staffing, or support. Need clarification before consolidation decision.",low
"Godaddy.Com, Llc",IT & Infrastructure,$923,Domain registration and DNS management services,Optimize,GoDaddy is a standard domain/DNS provider. Low spend indicates limited domain portfolio. Review for unused domains and consider consolidation with primary DNS provider.,high
Time Out Group,Employee Experience,$920,Time Out magazine subscriptions or event/dining guides for employees,Terminate,"At $920/year, this is too small for meaningful advertising spend. Time Out is a city lifestyle/events publication - this likely represents magazine subscriptions, dining guides, or employee perks rather than marketing. Low value, easy cut.",medium
Raiffeisenbank Austria D.D.,Finance,$920,Croatian banking services and transaction fees,Optimize,Correct classification. Local bank for Croatian entity operations; low spend suggests transaction fees. Review fee structure and consolidate banking relationships if possible.,high
Galop-Prijevoz D.O.O.,Facilities,$908,Croatian transport/courier services for Zagreb/Split offices,Optimize,Agree. 'Galop-Prijevoz' indicates transport/courier (prijevoz = transport in Croatian). Low spend suggests occasional local deliveries; correctly placed in Facilities with Optimize to verify necessity or consolidate with other logistics providers.,high
Lane Ip Limited,Legal,$851,UK intellectual property law firm — trademark/patent filings,Optimize,Agree. Lane IP is a UK IP boutique; low spend indicates episodic trademark/patent work. Optimize via fixed-fee arrangements or consolidation with primary external counsel is appropriate.,high
Urbani Eventi D.O.O.,Employee Experience,$851,Croatian event services and catering (Zagreb/Split offices),Optimize,"Event services and catering for employees should be classified under Employee Experience, not Facilities per rule 4/5. Recommendation remains Optimize given low spend and consolidation potential.",high
Smashing Media Ag,Engineering,$850,Smashing Magazine subscriptions for design/dev resources,Optimize,"Low-cost professional development resource for engineering/design teams. At $850/year, termination saves negligible amount while potentially impacting team morale and skill development. Better to optimize by reviewing active usage and consolidating licenses if needed.",high
Epignosis Llc,People & HR,$833,TalentLMS learning management system for employee training,Optimize,"Correct classification. Epignosis is the company behind TalentLMS, a cloud-based LMS. Low spend indicates limited usage; should evaluate consolidation with other L&D tools or negotiate better terms.",high
Croatia Airlines,Travel & Entertainment,$832,Croatian domestic/regional airline for employee business travel,Consolidate,"Agree. Direct airline bookings should flow through Navan for policy compliance, spend visibility, and negotiated rates.",high
Bb Football Scouting J.D.O.O.,Employee Experience,$823,Football scouting or sports-related team activity provider,Investigate,"J.D.O.O. is Croatian entity; 'Football Scouting' suggests sports/recreation activity rather than facility rental. If confirmed as team-building or employee recreation, belongs in Employee Experience, not Facilities. Retaining Investigate due to unclear business purpose for a tech company.",low
Boe Croatia D.O.O.,Facilities,$814,Croatian office services or maintenance vendor,Investigate,"BOE is not a recognizable brand; could be office equipment, maintenance, or supplies. Low spend and opaque name warrant investigation to confirm scope before consolidation decision.",low
Potomac D.O.O.,Employee Experience,$806,Office catering and employee meals,Consolidate,"Potomac is a known Croatian catering/restaurant business. Per rules, employee food services go to Employee Experience, not Facilities. Low spend suggests one of multiple local catering vendors — consolidate with other Croatian food providers rather than Investigate.",medium
"President Hotel And Tower Co., Ltd",Travel & Entertainment,$803,Hotel accommodations for business travel (Thailand),Consolidate,Correct classification. Direct hotel booking should be consolidated through Navan for policy compliance and rate optimization.,high
Friends Sports Club,Employee Experience,$797,Corporate sports club membership or team-building activities,Optimize,Sports club aligns with Employee Experience for team/wellness perks; low spend warrants utilization review and possible group rate negotiation.,medium
The Cycle Gap Adyar,Employee Experience,$765,Bicycle shop or cycling service for employee commute/wellness,Investigate,Adyar is a Chennai neighborhood; 'Cycle Gap' suggests a bicycle shop/service. More likely employee wellness/commute benefit than facilities courier. Low spend warrants investigation to confirm purpose before action.,low
Apple - Amer,IT & Infrastructure,$764,"Apple hardware/software purchases for employees (laptops, phones, accessories)",Optimize,Low spend indicates limited Apple device purchases; consolidate procurement channels or negotiate volume discounts if scaling.,high
Klg - Kalra Legal Group,Legal,$681,External legal counsel — commercial or regulatory matters,Investigate,"Low spend ($681) for a legal firm suggests ad-hoc or limited engagement; need to confirm scope, jurisdiction served, and whether services are ongoing or concluded before termination decision.",medium
Kilgannon & Partners Llp,Legal,$681,UK law firm — legal advisory services,Investigate,Low spend ($681) indicates ad-hoc or one-time engagement; confirm scope and whether ongoing need exists post-acquisition before consolidating into primary legal panel.,medium
Uk Postbox Limited,Facilities,$670,UK virtual mailbox and business address services,Optimize,Correct classification. Virtual mailbox/registered office service fits Facilities. Low spend warrants review of necessity post-acquisition but not termination without verification.,high
Catering Iviä‡ D.O.O.,Employee Experience,$669,Croatian office catering and food services (Zagreb/Split),Optimize,"Employee food/catering belongs in Employee Experience, not Facilities per rule 4/5. Low spend; consolidate with other Croatian caterers.",high
Blink Events,Employee Experience,$664,Corporate events and team activities coordination,Optimize,Agree. Low-spend event vendor correctly placed in Employee Experience; Optimize appropriate given potential to consolidate with other event providers.,medium
Grafo-Jan,Facilities,$662,Croatian printing and office supplies vendor,Optimize,Low-spend print/stationery vendor for Croatian office; appropriate for Facilities with Optimize to consolidate with other office supply vendors or shift to digital alternatives.,medium
Mesa Verde,G&A,$662,Ambiguous vendor — likely contractor payout or niche service,Investigate,"Mesa Verde is a generic name (could be restaurant, consulting, or miscoded expense); low spend but scope unclear. Needs verification.",low
Pixsy Inc,Legal,$613,Image copyright monitoring and enforcement platform,Optimize,"Correct classification. Pixsy provides automated image theft detection and takedown services, appropriately placed in Legal. Low spend warrants review of actual usage and ROI.",high
Dun & Bradstreet D.O.O.,Finance,$610,Business credit reports and company data (Croatia entity),Optimize,Correct classification. D&B provides credit/company data for finance due diligence. Low spend suggests potential consolidation with any global D&B contract.,high
Induslaw,Legal,$596,Indian law firm — local regulatory and commercial matters,Optimize,Induslaw is a reputable Indian law firm; low spend suggests occasional local legal needs. Reasonable to retain and review scope or consolidate with primary counsel.,high
Trans-Agram Obrt Za Dostavu,Facilities,$581,Croatian local delivery/courier services for Zagreb/Split offices,Optimize,"Agree with PASS-1. 'Trans-Agram Obrt Za Dostavu' is a Croatian delivery/courier service (obrt za dostavu = delivery trade). Low spend, appropriate for Facilities. Optimize by consolidating with other courier services or negotiating flat rate.",high
Landu Law Solicitors,Legal,$568,UK solicitors firm — employment or commercial law services,Investigate,Low spend suggests ad-hoc or one-off legal work; worth confirming scope and whether services can be consolidated under primary external counsel.,medium
Arena Center Zagreb D.O.O.,Employee Experience,$567,Croatia office event/meeting venue rental in Zagreb,Optimize,"Event/meeting space rental for team gatherings is Employee Experience (team events, offsites), not Facilities. Facilities covers real estate, utilities, maintenance — not event venues.",high
Obrt Za Ugostiteljstvo Mirakul,Employee Experience,$565,Croatian catering/hospitality services for Zagreb/Split offices,Optimize,"Employee catering/food services belong in Employee Experience, not Facilities per classification rules. Low spend suggests occasional use; consolidate with other Croatian caterers or reduce to as-needed.",high
Oakberry Jr D.O.O.,Employee Experience,$535,Croatian office açaí bowl or healthy food provider,Optimize,"Oakberry is a Brazilian açaí bowl franchise; employee food/catering belongs in Employee Experience, not Facilities per rules. Low spend warrants review of necessity.",high
Tau On-Line D.O.O.,IT & Infrastructure,$534,Croatian IT services or online platform subscription,Investigate,Agree — 'D.O.O.' indicates Croatian entity but 'Tau On-Line' is opaque; low spend warrants quick clarification of scope before classifying as redundant or essential.,low
Magic Mountain Saloon,Employee Experience,$524,Restaurant/bar for team events or employee meals,Optimize,"Agree with PASS-1. Low spend on a saloon/bar indicates occasional team social events or meals. Correctly placed in Employee Experience, not Facilities. Optimize is appropriate to negotiate or consolidate with other venue spend.",high
Hotel Zonar,Travel & Entertainment,$523,Hotel accommodation for business travel,Consolidate,Hotel bookings should route through Navan travel platform for policy compliance and savings.,high
